Name,Grape,Score,Price,Normalized_Score
"Cortes de Cima Incognito, Vinho Regional Alentejano, Portugal",Syrah,89,273,7.8
"Quinta do Poeira 'Poeira', Douro, Portugal",Portuguese Red Blend,91,139,8.2
"Fonseca Quinta Do Panascal Single Quinta Vintage Port, Portugal",Port Blend Red,90,219,8.0
"Quinta do Crasto Tinta Roriz, Douro, Portugal",Tempranillo,91,229,8.2
"Porto Cruz Special Reserve Port, Portugal",Port Blend Red,87,75,7.4
"Quinta do Mouro Tinto, Vinho Regional Alentejano, Portugal",Rare Red Blend,90,119,8.0
"Herdade de Sao Miguel Colheita Seleccionada, Vinho Regional Alentejano, Portugal",Alicante Bouschet - Aragonez - Trincadeira,88,40,7.6
"Real Companhia Velha Porca de Murca Tinto, Douro, Portugal",Tinta Barroca - Tinta Roriz - Touriga,86,35,7.2
"Luis Pato Vinhas Velhas, Beiras, Portugal",Baga,89,84,7.8
"Alves de Sousa Quinta da Gaivosa Tinto, Douro, Portugal",Portuguese Red Blend,90,179,8.0
"Niepoort Coche, Douro, Portugal",Portuguese White Blend,92,249,8.4
"Quinta do Passadouro Vintage Port, Portugal",Port Blend Red,91,194,8.2
"Quinta de la Rosa 'La Rosa' Reserva, Douro, Portugal",Tinta Barroca - Tinta Roriz - Touriga,91,129,8.2
"Wine & Soul Quinta da Manoella Vinhas Velhas, Douro, Portugal",Portuguese Red Blend,91,273,8.2
"Cockburn's Fine Ruby Port, Portugal",Port Blend Red,88,50,7.6
"Casa Ferreirinha Callabriga, Douro, Portugal",Tempranillo,89,80,7.8
"Cortes de Cima Tinto, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,88,65,7.6
"Sandeman 20 Years Old Tawny Porto, Portugal",Port Blend Red,90,189,8.0
"Croft Pink Rose Port, Portugal",Port Blend Red,87,65,7.4
"Vinhos Borges 'Gatao', Vinho Verde, Portugal",Portuguese White Blend,85,25,7.0
"Casa de Mouraz Encruzado, Dao, Portugal",Encruzado,89,70,7.8
"Bacalhoa - Caves Alianca Quinta do Carmo Tinto, Alentejo, Portugal",Portuguese Red Blend,88,70,7.6
"CARM Casa Agricola Roboredo Madeira Reserva, Douro, Portugal",Portuguese Red Blend,89,65,7.8
"Pink Elephant Rose, Portugal",Rare Rose Blend,86,30,7.2
"Niepoort Projectos Bucaco Branco Vinho de Mesa, Portugal",Portuguese White Blend,90,194,8.0
"Dow's Quinta da Senhora da Ribeira Single Quinta Vintage Port, Portugal",Port Blend Red,91,239,8.2
"Niepoort Redoma Reserva Branco, Douro, Portugal",Portuguese White Blend,91,124,8.2
"Esporao Quinta dos Murcas Reserva, Douro, Portugal",Portuguese Red Blend,91,114,8.2
"Anselmo Mendes Contacto Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),89,55,7.8
"Jose Maria da Fonseca Jose de Sousa, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,89,55,7.8
"Niepoort Redoma Branco, Douro, Portugal",Portuguese White Blend,90,70,8.0
"Casa Santos Lima 'Lab' Rose, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,87,30,7.4
"Quinta da Foz Reserva, Douro, Portugal",Portuguese Red Blend,90,89,8.0
"Jose Maria da Fonseca Alambre Moscatel de Setubal, Portugal",Muscat of Alexandria,88,55,7.6
"Wine & Soul 'Guru' Branco, Douro, Portugal",Portuguese White Blend,90,124,8.0
"Quinta da Romaneira Vintage Port, Portugal",Port Blend Red,91,204,8.2
"Sandeman Founder's Reserve Port, Portugal",Port Blend Red,87,70,7.4
"Dow's 10 Year Old Tawny Port, Portugal",Port Blend Red,88,119,7.6
"Ramos Pinto Late Bottled Vintage Port, Portugal",Port Blend Red,89,89,7.8
"Cortes de Cima Chamine Tinto, Vinho Regional Alentejano, Portugal",Syrah - Tempranillo,86,40,7.2
"Parras 'Montaria' Reserva, Vinho Regional Alentejano, Portugal",Rare Red Blend,87,30,7.4
"Cockburn's Late Bottled Vintage Port, Portugal",Port Blend Red,88,75,7.6
"Broadbent Vinho Verde, Portugal",Arinto (Pederna) - Loureiro,86,35,7.2
"Palacio da Brejoeira Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),88,70,7.6
"Wine & Soul Pintas Character Red, Douro, Portugal",Portuguese Red Blend,91,114,8.2
"Warre's Otima 10 Year Old Tawny Port, Portugal",Port Blend Red,90,124,8.0
"DFJ Vinhos Portada Winemaker's Selection Tinto, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,86,35,7.2
"Blandy's Vintage Madeira Terrantez, Portugal",Terrantez,89,905,7.8
"Porto Cruz 'Gran Cruz' 10 Year Old Tawny Port, Portugal",Port Blend Red,88,89,7.6
"Quinta da Romaneira Reserva Tinto, Douro, Portugal",Portuguese Red Blend,92,184,8.4
"Quinta do Crasto Late Bottled Vintage Port, Portugal",Port Blend Red,89,80,7.8
"Conde D'Ervideira Reserva, Alentejo, Portugal",Alicante Bouschet - Aragonez - Trincadeira,87,55,7.4
"Caves Vidigal Porta 6 Tinto, Vinho Regional de Lisboa, Portugal",Portuguese Red Blend,87,30,7.4
"Quinta de Roriz Vintage Port, Portugal",Port Blend Red,90,229,8.0
"Grao Vasco Tinto, Dao, Portugal",Portuguese Red Blend,85,35,7.0
"Churchill's Late Bottled Vintage Port, Portugal",Port Blend Red,89,94,7.8
"Offley Late Bottled Vintage Port, Portugal",Port Blend Red,89,99,7.8
"Quinta do Noval 20 Years Old Tawny Port, Portugal",Port Blend Red,91,278,8.2
"Pocas Junior Vintage Port, Portugal",Port Blend Red,91,234,8.2
"Quinta do Vesuvio Pombal do Vesuvio, Douro, Portugal",Portuguese Red Blend,90,84,8.0
"Herdade dos Grous, Vinho Regional Alentejano, Portugal",Rare Red Blend,88,50,7.6
"Kopke Quinta Sao Luiz Vintage Port, Portugal",Port Blend Red,88,159,7.6
"Taylor Fladgate Quinta de Terra Feita Vintage Port, Portugal",Port Blend Red,90,239,8.0
"Quinta da Raza 'Raza', Vinho Verde, Portugal",Portuguese White Blend,86,35,7.2
"Quinta de la Rosa Tinto, Douro, Portugal",Portuguese Red Blend,89,65,7.8
"Jose Maria da Fonseca Periquita Reserva, Vinho Regional Peninsula de Setubal, Portugal",Portuguese Red Blend,87,55,7.4
"Cartuxa Eugenio de Almeida EA, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,85,35,7.0
"Joao Portugal Ramos Marques de Borba, Alentejo, Portugal",Portuguese Red Blend,87,40,7.4
"Real Companhia Velha 'Evel' Tinto, Douro, Portugal",Portuguese Red Blend,87,40,7.4
"Colinas de Sao Lourenco 'Principal' Grande Reserva, Bairrada, Portugal",Rare Red Blend,90,413,8.0
"Dao Sul Casa de Santar Reserva, Dao, Portugal",Portuguese Red Blend,90,60,8.0
"Real Companhia Velha Royal Oporto 10 Year Old Tawny Port, Portugal",Port Blend Red,87,94,7.4
"Alvaro Castro Quinta da Pellada Carrocel, Dao, Portugal",Touriga Nacional,92,253,8.4
"Ramos Pinto 20 Year Old Quinta do Bom Retiro Tawny Port, Portugal",Port Blend Red,92,253,8.4
"Sao Miguel do Sul Tinto, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,88,40,7.6
"Quinta Nova de Nossa Senhora do Carmo 'Mirabilis' Grande Reserva Branco, Douro, Portugal",Portuguese White Blend,90,154,8.0
"Filipa Pato 3B Metodo Traditional Rose, Bairrada, Beiras, Portugal",Rare Rose Blend,88,55,7.6
"Aveleda Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),88,40,7.6
"Wine & Soul Quinta da Manoella, Douro, Portugal",Portuguese Red Blend,89,65,7.8
"Niepoort Robustus, Douro, Portugal",Portuguese Red Blend,92,273,8.4
"Herdade do Esporao Torre do Esporao, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,90,790,8.0
"Sandeman 30 Year Old Tawny Porto, Portugal",Port Blend Red,91,353,8.2
"Bacalhoa - Caves Alianca Moscatel de Setubal, Portugal",Muscat of Alexandria,88,45,7.6
"Burmester Late Bottled Vintage Port, Portugal",Port Blend Red,88,89,7.6
"Caves Messias Quinta do Cachao Vintage Port, Portugal",Port Blend Red,88,417,7.6
"Quinta do Monte d'Oiro Reserva, Vinho Regional Lisboa, Portugal",Syrah - Viognier,91,159,8.2
"Dow's 20 Year Old Tawny Port, Portugal",Port Blend Red,90,199,8.0
"Taylor Fladgate 30 Year Old Tawny Port, Portugal",Port Blend Red,89,502,7.8
"Casa Santos Lima Quinta das Setencostas, Alenquer, Portugal",Portuguese Red Blend,87,30,7.4
"Quinta do Noval 40 Year Old Tawny Port, Portugal",Port Blend Red,91,542,8.2
"Adega Cooperativa de Borba, Alentejo, Portugal",Portuguese Red Blend,85,30,7.0
"Duorum Tons de Duorum Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,87,35,7.4
"Quinta do Portal Colheita, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,88,55,7.6
"Caves Velhas 'Cabeca de Toiro' Reserva, Ribatejo, Portugal",Castelao - Touriga,88,40,7.6
"Quinta do Ameal Loureiro, Vinho Verde, Portugal",Loureiro,89,50,7.8
"Casa Ermelinda Freitas Dona Ermelinda Reserva, Palmela, Portugal",Portuguese Red Blend,87,40,7.4
"Quinta da Romaneira Vinho Tinto, Douro, Portugal",Portuguese Red Blend,91,89,8.2
"Broadbent Rose, Vinho Verde, Portugal",Portuguese Red Blend,87,35,7.4
"Luis Pato Quinta do Ribeirinho Pe Franco, Beiras, Portugal",Baga,92,676,8.4
"Quinta do Crasto 'Xisto' Roquette e Cazes, Douro, Portugal",Portuguese Red Blend,90,273,8.0
