Name,Grape,Popularity,Score,AvgPrice,NormScore
"Taylor Fladgate 325th Anniversary Tawny Port, Portugal",Port Blend Red,"6,178",90,156,8
"Real Vinicola Vintage Port, Portugal",Port Blend Red,"6,222",,"1,782",-10
"Hooper's Vintage Port, Portugal",Port Blend Red,"6,222",,"1,124",-10
"Quinta do Crasto Superior, Douro, Portugal",Portuguese Red Blend,"6,295",90,75,8
"W & J Graham's 40 Year Old Tawny Port, Portugal",Port Blend Red,"6,410",91,587,8.2
"Blandy's Vintage Malmsey, Madeira, Portugal",Malvasia,"6,451",,899,-10
"Wiese & Krohn Vintage Port, Portugal",Port Blend Red,"6,527",89,763,7.8
"Jose Maria da Fonseca Lancers Rose, Portugal",Portuguese Red Blend,"6,551",85,25,7
"Calem Colheita Port, Portugal",Port Blend Red,"6,645",,371,-10
"Fonseca Late Bottled Vintage Port, Portugal",Port Blend Red,"6,645",90,85,8
"Casa Ferreirinha Esteva Tinto, Douro, Portugal",Portuguese Red Blend,"6,706",87,35,7.4
"Quinta do Infantado Vintage Port, Portugal",Port Blend Red,"6,741",89,256,7.8
"Lobo e Falcao Tinto, Vinho Regional Tejo, Portugal",Portuguese Red Blend,"6,813",87,45,7.4
"Niepoort Redoma Tinto, Douro, Portugal",Portuguese Red Blend,"6,813",91,131,8.2
"Quinta do Noval Tinto, Douro, Portugal",Portuguese Red Blend,"6,839",91,216,8.2
"Alves de Sousa 'Abandonado' Tinto, Douro, Portugal",Portuguese Red Blend,"6,903",91,346,8.2
"Porto Cruz Vintage Port, Portugal",Port Blend Red,"6,903",88,131,7.6
"Gazela Branco, Vinho Verde, Portugal",Loureiro,"6,903",85,25,7
"Jose Maria da Fonseca Moscatel de Setubal, Portugal",Muscat of Alexandria,"6,941",,783,-10
"Espinheira Ginja Liqueur, Portugal",Liqueur - Fruit,"7,008",,45,-10
"Herdade da Maroteira Cem Reis Reserva Syrah, Vinho Regional Alentejano, Portugal",Syrah,"7,046",,120,-10
"Sandeman Vau Vintage Porto, Portugal",Port Blend Red,"7,086",89,171,7.8
"Adega Viuva Gomes Tinto, Colares, Portugal",Ramisco,"7,177",,397,-10
"C. da Silva Dalva Golden White Colheita Port, Portugal",Port Blend White,"7,363",,798,-10
"Andresen Colheita Port, Portugal",Port Blend Red,"7,470",,341,-10
"Taylor Fladgate Scion Vintage Port, Portugal",Port Blend Red,"7,510",90,"12,033",8
"Quinta do Noval Unfiltered Late Bottled Vintage Port, Portugal",Port Blend Red,"7,584",90,90,8
"Ferreira Late Bottled Vintage Port, Portugal",Port Blend Red,"7,724",90,80,8
"Niepoort Charme Tinto, Douro, Portugal",Portuguese Red Blend,"7,724",92,261,8.4
"Casa Santos Lima 'Lab' Tinto, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,"7,764",86,30,7.2
"Casa Santos Lima 'Stones & Bones', Vinho Regional Lisboa, Portugal",Portuguese Red Blend,"7,764",88,40,7.6
"Casal Garcia Rose, Vinho Verde, Portugal",Rare Rose Blend,"7,800",85,30,7
"Taylor Fladgate 10 Year Old Tawny Port, Portugal",Port Blend Red,"7,908",89,110,7.8
"Silk & Spice Red Blend, Portugal",Portuguese Red Blend,"7,959",88,45,7.6
"W & J Graham's 10 Year Old Tawny Port, Portugal",Port Blend Red,"7,959",89,115,7.8
"Quinta do Vallado Touriga Nacional, Douro, Portugal",Touriga Nacional,"8,036",91,136,8.2
"Casa Macieira Five Star Royal Brandy, Portugal",Brandy,"8,146",,60,-10
"C. da Silva Dalva Colheita Port, Portugal",Port Blend Red,"8,261",,241,-10
"W & J Graham's 30 Year Old Tawny Port, Portugal",Port Blend Red,"8,261",91,382,8.2
"Herdade do Esporao 'Esporao' Reserva Branco, Alentejo, Portugal",Rare White Blend,"8,316",89,55,7.8
"Ferreira Tawny Port, Portugal",Port Blend Red,"8,362",87,50,7.4
"Quinta de la Rosa Vintage Port, Portugal",Port Blend Red,"8,441",91,236,8.2
"W & J Graham's 'Ne Oublie' Port, Portugal",Port Blend Red,"8,562",90,"25,251",8
"Cossart Gordon Bual Vintage, Madeira, Portugal",Bual,"8,598",89,964,7.8
"Sagres Beer, Portugal",Beer,"8,741",87,20,7.4
"Kopke 10 Year Old Tawny Port, Portugal",Port Blend Red,"8,741",89,105,7.8
"Jose Maria da Fonseca Periquita Original, Vinho Regional Peninsula de Setubal, Portugal",Portuguese Red Blend,"8,741",86,35,7.2
"Caves Messias Vintage Port, Portugal",Port Blend Red,"8,783",89,371,7.8
"Sandeman Fine Ruby Port, Douro, Portugal",Port Blend Red,"8,836",86,55,7.2
"Symington Altano, Douro, Portugal",Portuguese Red Blend,"8,836",87,35,7.4
"Ferreira Quinta do Porto 10 Year Old Tawny Port, Portugal",Port Blend Red,"8,875",89,100,7.8
"Quinta do Crasto Vinha da Ponte, Douro, Portugal",Portuguese Red Blend,"9,120",92,663,8.4
"Niepoort Bioma Vinha Velha Vintage Port, Portugal",Port Blend Red,"9,167",93,316,8.6
"W & J Graham's Six Grapes Reserve Port, Portugal",Port Blend Red,"9,167",89,80,7.8
"Porto Cruz Tawny Port, Portugal",Port Blend Red,"9,221",88,50,7.6
"Cortes de Cima Incognito, Vinho Regional Alentejano, Portugal",Syrah,"9,221",89,281,7.8
"Quinta do Poeira 'Poeira', Douro, Portugal",Portuguese Red Blend,"9,221",91,141,8.2
"Fonseca Quinta Do Panascal Single Quinta Vintage Port, Portugal",Port Blend Red,"9,318",90,221,8
"Quinta do Crasto Tinta Roriz, Douro, Portugal",Tempranillo,"9,380",91,231,8.2
"Porto Cruz Special Reserve Port, Portugal",Port Blend Red,"9,425",87,75,7.4
"Quinta do Mouro Tinto, Vinho Regional Alentejano, Portugal",Rare Red Blend,"9,495",90,120,8
"Herdade de Sao Miguel Colheita Seleccionada, Vinho Regional Alentejano, Portugal",Alicante Bouschet - Aragonez - Trincadeira,"9,691",88,40,7.6
"Blandy's Sercial Vintage, Madeira, Portugal",Sercial,"9,691",,959,-10
"Osborne Vintage Port, Portugal",Port Blend Red,"9,738",,176,-10
"Real Companhia Velha Porca de Murca Tinto, Douro, Portugal",Tinta Barroca - Tinta Roriz - Touriga,"9,853",86,35,7.2
"Luis Pato Vinhas Velhas, Beiras, Portugal",Baga,"9,912",89,85,7.8
"Costantino Vintage Port, Portugal",Port Blend Red,"9,912",,"8,614",-10
"Alves de Sousa Quinta da Gaivosa Tinto, Douro, Portugal",Portuguese Red Blend,"10,036",90,181,8
"Niepoort Coche, Douro, Portugal",Portuguese White Blend,"10,036",92,256,8.4
"Quinta do Passadouro Vintage Port, Portugal",Port Blend Red,"10,036",91,196,8.2
"Quinta de la Rosa 'La Rosa' Reserva, Douro, Portugal",Tinta Barroca - Tinta Roriz - Touriga,"10,036",91,131,8.2
"Alto Pina Reserva, Vinho Regional Peninsula de Setubal, Portugal",Portuguese Red Blend,"10,094",,25,-10
"Wine & Soul Quinta da Manoella Vinhas Velhas, Douro, Portugal",Portuguese Red Blend,"10,182",91,276,8.2
"Cockburn's Fine Ruby Port, Portugal",Port Blend Red,"10,182",88,50,7.6
"Casa Ferreirinha Callabriga, Douro, Portugal",Tempranillo,"10,360",89,75,7.8
"Cortes de Cima Tinto, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"10,491",88,65,7.6
"Sandeman 20 Years Old Tawny Porto, Portugal",Port Blend Red,"10,554",90,196,8
"Croft Pink Rose Port, Portugal",Port Blend Red,"10,554",87,65,7.4
"Casa de Mouraz Encruzado, Dao, Portugal",Encruzado,"10,623",89,70,7.8
"Vinhos Borges 'Gatao', Vinho Verde, Portugal",Portuguese White Blend,"10,623",85,25,7
"Bacalhoa - Caves Alianca Quinta do Carmo Tinto, Alentejo, Portugal",Portuguese Red Blend,"10,623",88,70,7.6
"CARM Casa Agricola Roboredo Madeira Reserva, Douro, Portugal",Portuguese Red Blend,"10,680",89,65,7.8
"Niepoort Projectos Bucaco Branco Vinho de Mesa, Portugal",Portuguese White Blend,"10,744",90,196,8
"Dow's Quinta da Senhora da Ribeira Single Quinta Vintage Port, Portugal",Port Blend Red,"10,744",91,241,8.2
"Pink Elephant Rose, Portugal",Rare Rose Blend,"10,744",86,30,7.2
"Niepoort Redoma Reserva Branco, Douro, Portugal",Portuguese White Blend,"10,805",91,126,8.2
"Esporao Quinta dos Murcas Reserva, Douro, Portugal",Portuguese Red Blend,"10,864",91,115,8.2
"Anselmo Mendes Contacto Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"10,864",89,55,7.8
"D'Oliveiras Terrantez Vintage Madeira, Portugal",Terrantez,"10,864",,653,-10
"Jose Maria da Fonseca 'Jose de Sousa', Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"10,945",89,50,7.8
"Justino's Colheita, Madeira, Portugal",Tinta Negra Mole,"10,945",,151,-10
"Oppidum 'Ginja de Obidos' Licor, Obidos, Portugal",Liqueur - Fruit,"11,025",,90,-10
"Casa Santos Lima 'Lab' Rose, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,"11,025",87,25,7.4
"Quinta da Foz Reserva, Douro, Portugal",Portuguese Red Blend,"11,025",90,85,8
"Niepoort Redoma Branco, Douro, Portugal",Portuguese White Blend,"11,025",90,70,8
"Wine & Soul 'Guru' Branco, Douro, Portugal",Portuguese White Blend,"11,085",90,126,8
"Jose Maria da Fonseca Alambre Moscatel de Setubal, Portugal",Muscat of Alexandria,"11,085",88,55,7.6
"Quinta da Romaneira Vintage Port, Portugal",Port Blend Red,"11,150",91,206,8.2
"Sandeman Founder's Reserve Port, Portugal",Port Blend Red,"11,305",87,70,7.4
"Dow's 10 Year Old Tawny Port, Portugal",Port Blend Red,"11,393",88,120,7.6
"Ramos Pinto Late Bottled Vintage Port, Portugal",Port Blend Red,"11,546",89,90,7.8
"Cortes de Cima Chamine Tinto, Vinho Regional Alentejano, Portugal",Syrah - Tempranillo,"11,546",86,40,7.2
"Blandy's Vintage Verdelho, Madeira, Portugal",Verdelho,"11,610",,823,-10
"Parras 'Montaria' Reserva, Vinho Regional Alentejano, Portugal",Rare Red Blend,"11,610",87,30,7.4
"Cockburn's Late Bottled Vintage Port, Portugal",Port Blend Red,"11,693",88,75,7.6
"Palacio da Brejoeira Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"11,750",88,70,7.6
"Wine & Soul Pintas Character Red, Douro, Portugal",Portuguese Red Blend,"11,750",91,115,8.2
"Warre's Otima 10 Year Old Tawny Port, Portugal",Port Blend Red,"11,750",90,126,8
"Broadbent Vinho Verde, Portugal",Arinto (Pederna) - Loureiro,"11,750",86,35,7.2
"Burmester Extra Selected Vintage Port, Portugal",Port Blend Red,"11,907",,974,-10
"DFJ Vinhos Portada Winemaker's Selection Tinto, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,"11,907",86,35,7.2
"Blandy's Vintage Madeira Terrantez, Portugal",Terrantez,"11,907",89,919,7.8
"Porto Cruz 'Gran Cruz' 10 Year Old Tawny Port, Portugal",Port Blend Red,"12,043",88,90,7.6
"Amarguinha Original Licor, Portugal",Liqueur - Nut,"12,043",,45,-10
"Quinta da Romaneira Reserva Tinto, Douro, Portugal",Portuguese Red Blend,"12,043",92,181,8.4
"Quinta do Crasto Late Bottled Vintage Port, Portugal",Port Blend Red,"12,043",89,80,7.8
"Conde D'Ervideira Reserva, Alentejo, Portugal",Alicante Bouschet - Aragonez - Trincadeira,"12,147",87,60,7.4
"Caves Vidigal Porta 6 Tinto, Vinho Regional de Lisboa, Portugal",Portuguese Red Blend,"12,223",87,35,7.4
"Quinta de Roriz Vintage Port, Portugal",Port Blend Red,"12,382",90,231,8
"Churchill's Late Bottled Vintage Port, Portugal",Port Blend Red,"12,475",89,95,7.8
"Grao Vasco Tinto, Dao, Portugal",Portuguese Red Blend,"12,475",85,35,7
"Quinta do Noval 20 Years Old Tawny Port, Portugal",Port Blend Red,"12,548",91,281,8.2
"Pocas Junior Vintage Port, Portugal",Port Blend Red,"12,548",91,236,8.2
"Offley Late Bottled Vintage Port, Portugal",Port Blend Red,"12,548",89,100,7.8
"Herdade dos Grous, Vinho Regional Alentejano, Portugal",Rare Red Blend,"12,643",88,50,7.6
"Kopke Quinta Sao Luiz Vintage Port, Portugal",Port Blend Red,"12,643",88,161,7.6
"Taylor Fladgate Quinta de Terra Feita Vintage Port, Portugal",Port Blend Red,"12,643",90,236,8
"Quinta do Vesuvio Pombal do Vesuvio, Douro, Portugal",Portuguese Red Blend,"12,643",90,85,8
"Quinta da Raza 'Raza', Vinho Verde, Portugal",Portuguese White Blend,"12,823",86,40,7.2
"Quinta de la Rosa Tinto, Douro, Portugal",Portuguese Red Blend,"12,823",89,65,7.8
"Jose Maria da Fonseca Periquita Reserva, Vinho Regional Peninsula de Setubal, Portugal",Portuguese Red Blend,"12,912",87,50,7.4
"Escudo Real Rose, Vinho Verde, Portugal",Espadeiro,"13,009",,30,-10
"Cartuxa Eugenio de Almeida EA, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"13,088",85,35,7
"Gonzalez Byass Quinta do Sabordella Vintage Port, Portugal",Port Blend Red,"13,088",,"2,435",-10
"Colinas de Sao Lourenco 'Principal' Grande Reserva, Bairrada, Portugal",Rare Red Blend,"13,161",90,417,8
"Real Companhia Velha 'Evel' Tinto, Douro, Portugal",Portuguese Red Blend,"13,161",87,40,7.4
"Joao Portugal Ramos Marques de Borba, Alentejo, Portugal",Portuguese Red Blend,"13,161",87,40,7.4
"Dao Sul Casa de Santar Reserva, Dao, Portugal",Portuguese Red Blend,"13,161",90,60,8
"Real Companhia Velha Royal Oporto 10 Year Old Tawny Port, Portugal",Port Blend Red,"13,256",87,95,7.4
"Alvaro Castro Quinta da Pellada Carrocel, Dao, Portugal",Touriga Nacional,"13,256",92,256,8.4
"Ramos Pinto 20 Year Old Quinta do Bom Retiro Tawny Port, Portugal",Port Blend Red,"13,256",92,256,8.4
"Quinta Nova de Nossa Senhora do Carmo 'Mirabilis' Grande Reserva Branco, Douro, Portugal",Portuguese White Blend,"13,355",90,156,8
"Sao Miguel do Sul Tinto, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"13,355",88,40,7.6
"Filipa Pato 3B Metodo Traditional Rose, Bairrada, Beiras, Portugal",Rare Rose Blend,"13,442",88,60,7.6
"Feist Vintage Port, Portugal",Port Blend Red,"13,442",,467,-10
"Aveleda Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"13,442",88,40,7.6
"Herdade do Esporao Torre do Esporao, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"13,532",91,838,8.2
"Wine & Soul Quinta da Manoella, Douro, Portugal",Portuguese Red Blend,"13,532",89,65,7.8
"Niepoort Robustus, Douro, Portugal",Portuguese Red Blend,"13,532",92,271,8.4
"Sandeman 30 Year Old Tawny Porto, Portugal",Port Blend Red,"13,532",91,356,8.2
"Bacalhoa - Caves Alianca Moscatel de Setubal, Portugal",Muscat of Alexandria,"13,532",88,45,7.6
"Quinta do Monte d'Oiro Reserva, Vinho Regional Lisboa, Portugal",Syrah - Viognier,"13,737",91,161,8.2
"Burmester Late Bottled Vintage Port, Portugal",Port Blend Red,"13,737",88,90,7.6
"Caves Messias Quinta do Cachao Vintage Port, Portugal",Port Blend Red,"13,737",88,417,7.6
"Barbeito Frasqueira-Vintage Boal, Madeira, Portugal",Bual,"13,843",,"1,089",-10
"Dow's 20 Year Old Tawny Port, Portugal",Port Blend Red,"13,926",90,201,8
"Taylor Fladgate 30 Year Old Tawny Port, Portugal",Port Blend Red,"13,926",89,507,7.8
"Casa Santos Lima Quinta das Setencostas, Alenquer, Portugal",Portuguese Red Blend,"14,045",87,30,7.4
"Quinta do Noval 40 Year Old Tawny Port, Portugal",Port Blend Red,"14,045",91,547,8.2
"Hutcheson Vintage Port, Portugal",Port Blend Red,"14,158",,512,-10
"Adega Cooperativa de Borba, Alentejo, Portugal",Portuguese Red Blend,"14,265",85,30,7
"Duorum Tons de Duorum Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"14,374",87,35,7.4
"Quinta do Portal Colheita, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"14,486",88,55,7.6
"Cabeca de Toiro Reserva, Ribatejo, Portugal",Castelao - Touriga,"14,486",88,40,7.6
"Adega Regional de Colares Arenae Ramisco, Colares, Portugal",Ramisco,"14,486",,151,-10
"Quinta do Ameal Loureiro, Vinho Verde, Portugal",Loureiro,"14,610",89,55,7.8
"Antonio Bernardino Paulo da Silva Chitas Reserva Tinto, Colares, Portugal",Ramisco,"14,720",,146,-10
